,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
968,131234.0,2017-02-10T11:23:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Lincoln-Lemington-Belmar,9.0,12.0,42003561900.0,2.0,12.0,5.0,3-18,-79.89665600000001,40.472561600000006,EXACT
969,131182.0,2017-02-10T09:16:00,Snow/Ice removal,Website,1,DPW - Street Maintenance,Central Business District,6.0,1.0,42003020100.0,6.0,1.0,2.0,1-4,-80.0047334,40.440045500000004,EXACT
970,130401.0,2017-02-07T08:21:00,No Water,Call Center,1,Pittsburgh Water and Sewer Authority,Elliott,2.0,20.0,42003562600.0,5.0,20.0,6.0,1-17,-80.04051985651141,40.4479417483038,APPROXIMATE
972,130141.0,2017-02-06T08:48:00,Litter,Call Center,1,DPW - Street Maintenance,Chateau,6.0,21.0,42003980600.0,6.0,21.0,1.0,1-8,-80.0209889,40.4476237,EXACT
973,96160.0,2016-08-12T15:29:00,"Catch Basin, Clogged",Website,1,Pittsburgh Water and Sewer Authority,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.97942540000001,40.454759100000004,EXACT
974,127921.0,2017-01-26T15:42:00,Tree Removal,Call Center,1,DPW - Forestry Division,Brookline,4.0,19.0,42003320600.0,5.0,19.0,6.0,4-26,-80.00907099999999,40.391619,EXACT
975,130166.0,2017-02-06T09:47:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Strip District,7.0,6.0,42003020300.0,6.0,6.0,2.0,3-2,-79.9754589,40.457882899999994,EXACT
976,129981.0,2017-02-03T12:22:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,South Oakland,3.0,4.0,42003040900.0,3.0,4.0,4.0,2-11,-79.95023084285279,40.428315398523104,EXACT
977,128144.0,2017-01-27T18:51:00,Potholes,Website,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.97773690000001,40.4543653,EXACT
978,128702.0,2017-02-01T07:21:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.97773690000001,40.4543653,EXACT
979,128704.0,2017-02-01T07:44:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.97773690000001,40.4543653,EXACT
980,85100.0,2016-07-05T11:42:00,"Catch Basin, Clogged",Call Center,1,Pittsburgh Water and Sewer Authority,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-25,-80.00296709999999,40.403222899999996,EXACT
981,118503.0,2016-11-30T14:53:00,Gang Activity,Control Panel,1,Police - Zones 1-6,Crawford-Roberts,6.0,3.0,42003030500.0,3.0,3.0,2.0,2-1,-79.985372051217,40.444229084867295,APPROXIMATE
982,119351.0,2016-12-06T11:05:00,"Overgrowth, Parks",Call Center,1,DPW - Park Maintenance,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-6,-80.00504535775909,40.4567850445936,APPROXIMATE
983,124360.0,2017-01-09T07:31:00,Salt Box,Website,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.9615795,40.4594034,EXACT
984,123294.0,2017-01-02T10:58:00,Litter,Report2Gov Android,1,DPW - Street Maintenance,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,2-3,-79.9931063130498,40.4419452174895,EXACT
985,128709.0,2017-02-01T08:27:00,Litter,Call Center,1,DPW - Street Maintenance,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.995009,40.4421858,EXACT
986,125671.0,2017-01-17T08:31:00,Street Cleaning/Sweeping,Twitter,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.9687394301636,40.4579232608382,EXACT
987,128830.0,2017-02-01T11:01:00,Potholes,Call Center,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.967461,40.457384000000005,EXACT
988,128554.0,2017-01-31T11:21:00,Potholes,Twitter,1,DPW - Street Maintenance,Strip District,7.0,6.0,42003020300.0,6.0,6.0,2.0,2-25,-79.97864890000001,40.457265500000005,EXACT
989,128680.0,2017-01-31T16:54:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,6.0,42003020300.0,6.0,6.0,2.0,2-25,-79.9763609,40.4553235,EXACT
