,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
257,202667.0,2017-12-12T10:12:00,Drainage/Leak,Call Center,1,DPW - Street Maintenance,Allentown,3.0,18.0,42003180300.0,5.0,18.0,3.0,4-6,-79.99317679999999,40.4186047,EXACT
258,184273.0,2017-09-01T13:33:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",California-Kirkbride,6.0,21.0,42003250700.0,1.0,21.0,1.0,1-9,-80.02441938128,40.4616481785909,APPROXIMATE
259,202283.0,2017-12-08T13:00:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0358255,40.484312700000004,EXACT
260,193958.0,2017-10-17T15:07:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0277249736894,40.4704133497381,APPROXIMATE
261,141736.0,2017-03-28T15:14:00,Excessive Noise/Disturbances,Control Panel,1,Police - Zones 1-6,California-Kirkbride,6.0,21.0,42003250700.0,1.0,21.0,1.0,1-9,-80.02451028498079,40.4617934431173,APPROXIMATE
262,201450.0,2017-12-04T09:44:00,Vacant Building,Control Panel,1,"Permits, Licenses and Inspections",South Shore,2.0,19.0,42003980700.0,5.0,19.0,3.0,1-17,-80.0266974,40.443755200000005,EXACT
263,183377.0,2017-08-30T07:50:00,Broken Sidewalk,Call Center,1,"Permits, Licenses and Inspections",Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.01903829999999,40.3927549,EXACT
264,61423.0,2016-04-15T10:32:00,Root prune ,Call Center,1,DPW - Forestry Division,Greenfield,5.0,15.0,42003151600.0,3.0,15.0,4.0,2-12,-79.94137313819701,40.4231863350739,APPROXIMATE
265,195447.0,2017-10-25T10:17:00,Cited Root Prunes,Call Center,1,DPW - Forestry Division,Squirrel Hill North,8.0,14.0,42003140300.0,3.0,14.0,4.0,2-18,-79.91451666113991,40.444446403202704,APPROXIMATE
266,196381.0,2017-10-31T09:10:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Regent Square,5.0,14.0,42003141000.0,3.0,14.0,4.0,2-16,-79.896821,40.4343689,EXACT
267,199774.0,2017-11-20T13:56:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-22,-79.962756,40.452309,EXACT
268,201130.0,2017-11-30T14:22:00,Drainage/Leak,Control Panel,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290100.0,3.0,29.0,3.0,4-23,-79.996055,40.4017861,EXACT
269,201910.0,2017-12-06T13:20:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Esplen,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-27,-80.0496483,40.4598669,EXACT
270,199242.0,2017-11-16T09:59:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.01864376708821,40.4934180789738,APPROXIMATE
271,57300.0,2016-03-24T11:14:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Point Breeze North,9.0,14.0,42003140500.0,2.0,14.0,4.0,3-14,-79.904804,40.453964899999995,EXACT
272,198206.0,2017-11-09T12:38:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Point Breeze,9.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.89764009999999,40.4396739,EXACT
273,180923.0,2017-08-21T13:26:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Marshall-Shadeland,1.0,27.0,42003270400.0,1.0,27.0,1.0,1-9,-80.02862778765709,40.465542879414,APPROXIMATE
274,201196.0,2017-12-01T08:12:00,Litter,Call Center,1,DPW - Street Maintenance,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-6,-79.9600840103119,40.4623286914148,EXACT
275,200730.0,2017-11-28T16:31:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Lincoln Place,5.0,31.0,42003310200.0,3.0,31.0,4.0,4-20,-79.9176490037048,40.365666590325105,EXACT
276,201042.0,2017-11-30T10:35:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Squirrel Hill South,5.0,14.0,42003141400.0,3.0,14.0,4.0,2-15,-79.9214304,40.4253751,EXACT
277,200611.0,2017-11-28T12:05:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Central Oakland,3.0,4.0,42003040500.0,3.0,4.0,4.0,2-14,-79.9602234,40.4404834,EXACT
278,199269.0,2017-11-16T11:40:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.0154431,40.388107299999994,EXACT
279,199615.0,2017-11-20T08:28:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Squirrel Hill South,5.0,14.0,42003141300.0,3.0,14.0,4.0,2-21,-79.92679150000001,40.4328317,EXACT
280,118523.0,2016-11-30T16:13:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.93016126548629,40.47555060518229,APPROXIMATE
281,9941.0,2015-06-19T12:11:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Sheraden,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-16,-80.05643549999999,40.457429299999994,EXACT
283,195506.0,2017-10-25T13:01:00,Weeds/Debris,Control Panel,1,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.03874,40.47967,EXACT
284,139373.0,2017-03-15T12:07:00,Guide Rail,Call Center,1,DPW - Construction Division,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-23,-79.9913657423278,40.3801961543567,EXACT
285,172290.0,2017-07-21T12:29:00,Guide Rail,Call Center,1,DPW - Construction Division,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-23,-79.99138719999999,40.3802125,EXACT
286,191559.0,2017-10-05T07:50:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Mount Washington,3.0,18.0,42003191400.0,5.0,18.0,3.0,4-27,-80.003101,40.430276299999996,EXACT
287,156609.0,2017-05-25T07:42:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Lincoln-Lemington-Belmar,9.0,12.0,42003561900.0,2.0,12.0,5.0,3-15,-79.8989387,40.464666799999996,EXACT
288,199898.0,2017-11-21T08:59:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0183637,40.489523600000005,EXACT
289,130021.0,2017-02-03T14:53:00,Vacant Building,Control Panel,1,"Permits, Licenses and Inspections",Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.0294548,40.458895899999995,EXACT
290,199461.0,2017-11-17T12:08:00,Potholes,Control Panel,1,DPW - Street Maintenance,Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.040951,40.478338,EXACT
291,94154.0,2016-08-05T08:05:00,Abandoned Vehicle (parked on street),Website,1,Police - AVU,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-3,-79.9802806849496,40.4225804608866,APPROXIMATE
292,199835.0,2017-11-20T16:06:00,Rodent control,Call Center,1,Animal Care & Control,Brookline,4.0,32.0,42003320600.0,5.0,32.0,6.0,4-25,-80.0023681217243,40.398891960178794,APPROXIMATE
293,199878.0,2017-11-21T07:45:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Lincoln-Lemington-Belmar,9.0,12.0,42003981800.0,2.0,12.0,5.0,3-18,-79.9010347015747,40.475652600492296,EXACT
294,194881.0,2017-10-23T07:50:00,Excessive Noise/Disturbances,Website,1,Police - Zones 1-6,Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0353433020749,40.4782624866057,APPROXIMATE
295,195870.0,2017-10-27T08:50:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Central Business District,6.0,3.0,42003020100.0,6.0,3.0,2.0,2-4,-79.9883866,40.4405599,EXACT
296,199133.0,2017-11-15T14:22:00,Potholes,Control Panel,1,DOMI - Streets,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-21,-80.0119163,40.4567028,EXACT
297,155283.0,2017-05-22T07:56:00,Request New Sign,Call Center,1,DOMI - Traffic,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.9886204,40.4294466,EXACT
298,199162.0,2017-11-15T15:34:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,North Shore,1.0,22.0,42003981200.0,6.0,22.0,1.0,1-7,-80.0090667,40.4474601,EXACT
299,199279.0,2017-11-16T12:15:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,South Oakland,3.0,4.0,42003040900.0,3.0,4.0,4.0,2-11,-79.952216,40.4331751,EXACT
300,144294.0,2017-04-10T12:02:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Point Breeze,9.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.8946338,40.44227539999999,EXACT
301,167472.0,2017-07-05T16:47:00,Dead tree (Public property),Website,1,DPW - Forestry Division,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.043064,40.487495,EXACT
302,198663.0,2017-11-13T16:27:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Squirrel Hill South,5.0,15.0,42003141400.0,3.0,15.0,4.0,2-15,-79.9261413,40.4210125,EXACT
303,198238.0,2017-11-09T14:03:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,Shadyside,8.0,7.0,42003070300.0,2.0,7.0,4.0,3-22,-79.9331837,40.451097,EXACT
304,199118.0,2017-11-15T13:32:00,No Water,Call Center,1,Pittsburgh Water and Sewer Authority,Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.03516517032129,40.4785692359703,APPROXIMATE
305,198473.0,2017-11-13T09:48:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,Shadyside,8.0,7.0,42003070900.0,2.0,7.0,4.0,2-9,-79.9487725,40.4511624,EXACT
306,197996.0,2017-11-08T13:26:00,Utility Cut - Other,Call Center,1,DOMI - Permits,Bloomfield,7.0,8.0,42003080400.0,2.0,8.0,5.0,3-1,-79.9451662,40.4577063,EXACT
307,198855.0,2017-11-14T13:39:00,Rodent control,Control Panel,1,Animal Care & Control,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.9937311103303,40.412753798613,APPROXIMATE
308,198577.0,2017-11-13T13:42:00,Smoke detectors,Call Center,1,Fire Bureau,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-22,-79.9844002982718,40.419595429385,APPROXIMATE
309,160494.0,2017-06-08T14:57:00,Smoke detectors,Call Center,1,Fire Bureau,Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.0264872874053,40.4572260493916,APPROXIMATE
310,198073.0,2017-11-08T16:58:00,Manhole Cover ,Call Center,1,DOMI - Permits,Greenfield,5.0,15.0,42003151600.0,3.0,15.0,4.0,2-12,-79.95174870000001,40.4253638,EXACT
311,197852.0,2017-11-07T17:58:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Fineview,6.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0042802,40.4589691,EXACT
312,198252.0,2017-11-09T14:36:00,Missed Pick Up,Call Center,1,DPW - Refuse,Greenfield,5.0,15.0,42003151600.0,3.0,15.0,4.0,2-12,-79.94619070019729,40.4267746914172,APPROXIMATE
313,197025.0,2017-11-03T09:35:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,South Oakland,3.0,4.0,42003040900.0,3.0,4.0,4.0,2-14,-79.9612462,40.4384545,EXACT
314,198007.0,2017-11-08T13:58:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Upper Lawrenceville,7.0,10.0,42003101100.0,2.0,10.0,2.0,3-5,-79.95446340000001,40.4804161,EXACT
315,198100.0,2017-11-09T07:39:00,Missed Pick Up,Call Center,1,DPW - Refuse,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0385746991491,40.484026500001605,APPROXIMATE
316,197784.0,2017-11-07T14:30:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.9922895,40.407986,EXACT
317,197735.0,2017-11-07T12:40:00,Public Right of Way,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.0120011251312,40.4027533150601,EXACT
318,190909.0,2017-10-02T15:13:00,Building Maintenance,Call Center,1,"Permits, Licenses and Inspections",West Oakland,6.0,4.0,42003040200.0,3.0,4.0,4.0,2-10,-79.9676814459934,40.4374557743271,APPROXIMATE
319,197909.0,2017-11-08T09:22:00,Rodent control,Call Center,1,Animal Care & Control,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.97962569650709,40.4688050115329,APPROXIMATE
320,197499.0,2017-11-06T13:50:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-25,-80.00369559999999,40.4042977,EXACT
321,197552.0,2017-11-06T15:26:00,"Traffic or Pedestrian Signal, Repair",Twitter,1,DOMI - TrafficShop,South Oakland,6.0,4.0,42003980800.0,3.0,4.0,4.0,2-2,-79.97267459999999,40.4358139,EXACT
322,197226.0,2017-11-03T16:09:00,Shelters,Call Center,1,DPW - Park Maintenance,Perry North,1.0,26.0,42003980400.0,1.0,26.0,1.0,1-15,-80.01986090000001,40.4817036,EXACT
323,195340.0,2017-10-24T15:17:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Perry South,6.0,26.0,42003261500.0,1.0,26.0,1.0,1-23,-80.0131647,40.4716853,EXACT
324,161942.0,2017-06-14T12:59:00,"Litter Can, Public",Call Center,1,DPW - Street Maintenance,Perry South,6.0,26.0,42003270400.0,1.0,26.0,1.0,1-9,-80.02502290000001,40.4671354,EXACT
325,167868.0,2017-07-06T18:35:00,"City Steps, Need Cleared",Call Center,1,DPW - Street Maintenance,Spring Garden,1.0,24.0,42003241200.0,1.0,24.0,1.0,1-24,-79.9865637,40.464040000000004,EXACT
327,197396.0,2017-11-06T10:32:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Crafton Heights,2.0,28.0,42003281500.0,5.0,28.0,6.0,1-18,-80.05781826931151,40.4429584657564,EXACT
328,186418.0,2017-09-13T08:59:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9693124,40.4205315,EXACT
329,197374.0,2017-11-06T09:52:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Mount Washington,2.0,19.0,42003190300.0,5.0,19.0,3.0,4-1,-80.0182081481628,40.4264166836981,EXACT
330,196122.0,2017-10-30T09:25:00,Potholes,Call Center,1,DPW - Street Maintenance,Central Lawrenceville,7.0,9.0,42003090200.0,2.0,9.0,2.0,3-3,-79.9584017,40.4673979,EXACT
331,185216.0,2017-09-07T11:26:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-12,-79.93715679108891,40.415691808747,APPROXIMATE
332,196808.0,2017-11-02T08:28:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.01309640000001,40.4139628,EXACT
333,196854.0,2017-11-02T11:00:00,Potholes,Call Center,1,DPW - Street Maintenance,East Carnegie,2.0,28.0,42003562800.0,5.0,28.0,6.0,1-19,-80.07440720000001,40.4173646,EXACT
334,195862.0,2017-10-27T08:39:00,Building Maintenance,Website,1,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0350468221897,40.4782230799605,APPROXIMATE
335,196369.0,2017-10-31T08:27:00,Sidewalk/Curb/HC Ramp Maintenance,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-4,-79.99586921474359,40.4395809613042,APPROXIMATE
336,175329.0,2017-08-01T10:54:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Stanton Heights,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.9281718,40.4888918,EXACT
337,174007.0,2017-07-27T13:55:00,Overgrowth,Call Center,1,DPW - Street Maintenance,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-17,-79.8808241,40.4505786,EXACT
338,159904.0,2017-06-07T09:00:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Homewood North,9.0,13.0,42003130100.0,2.0,13.0,5.0,3-17,-79.8801196,40.4562734,EXACT
339,133316.0,2017-02-22T09:07:00,Drainage/Leak,Call Center,1,DPW - Street Maintenance,Lower Lawrenceville,7.0,8.0,42003060300.0,6.0,8.0,2.0,3-1,-79.95594679999999,40.460397799999996,EXACT
340,89808.0,2016-07-20T17:56:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Shadyside,8.0,7.0,42003070500.0,2.0,7.0,4.0,3-11,-79.9308043601188,40.4545991750541,EXACT
341,188757.0,2017-09-22T09:54:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,West Oakland,6.0,5.0,42003040200.0,3.0,5.0,4.0,2-10,-79.9666473,40.4425743,EXACT
342,186059.0,2017-09-12T08:27:00,Abandoned Vehicle (parked on street),Call Center,1,Police - AVU,Perry South,6.0,26.0,42003261500.0,1.0,26.0,1.0,1-12,-80.0177273657792,40.4701702531327,APPROXIMATE
343,170109.0,2017-07-14T13:18:00,Abandoned Vehicle (parked on street),Control Panel,1,Police - AVU,California-Kirkbride,6.0,21.0,42003250700.0,1.0,21.0,1.0,1-9,-80.0245241571549,40.4617954915186,APPROXIMATE
344,181304.0,2017-08-22T14:22:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Arlington,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.97737190000001,40.4178169,EXACT
345,183980.0,2017-08-31T12:31:00,Potholes,Call Center,1,DPW - Street Maintenance,Beltzhoover,3.0,18.0,42003562400.0,5.0,18.0,3.0,4-16,-80.0053483656067,40.4157919859929,EXACT
346,195118.0,2017-10-23T16:34:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,Garfield,9.0,10.0,42003101600.0,2.0,10.0,5.0,3-4,-79.9376462,40.4681215,EXACT
347,89585.0,2016-07-20T10:14:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Larimer,9.0,12.0,42003120800.0,2.0,12.0,5.0,3-12,-79.9124497396688,40.4616511666375,APPROXIMATE
348,195410.0,2017-10-25T08:18:00,Litter,Call Center,1,DPW - Street Maintenance,Squirrel Hill North,8.0,14.0,42003140100.0,3.0,14.0,4.0,2-26,-79.9404595656067,40.445563680933,EXACT
349,194893.0,2017-10-23T08:55:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.9810339,40.425806200000004,EXACT
350,191098.0,2017-10-03T11:45:00,Paving Concern/Problem,Control Panel,1,DOMI - Asphalt,Allentown,3.0,18.0,42003180300.0,5.0,18.0,3.0,4-6,-79.989653,40.4187092,EXACT
351,167789.0,2017-07-06T14:45:00,Potholes,Website,1,DPW - Street Maintenance,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-17,-79.8820463,40.4521179,EXACT
352,194600.0,2017-10-20T08:55:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Beltzhoover,3.0,18.0,42003562400.0,5.0,18.0,3.0,4-5,-80.0024652,40.4217789,EXACT
353,164307.0,2017-06-22T15:02:00,Wires,Control Panel,1,DOMI - Permits,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.99131829999999,40.4633072,EXACT
354,193692.0,2017-10-16T14:55:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.9297065,40.4800979,EXACT
355,193566.0,2017-10-16T11:06:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,Homewood West,9.0,12.0,42003120700.0,2.0,12.0,5.0,3-15,-79.90063459999999,40.4642365,EXACT
356,194687.0,2017-10-20T12:32:00,Litter,Control Panel,1,DPW - Street Maintenance,Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.03797800000001,40.473527000000004,EXACT
358,83619.0,2016-06-28T13:06:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Highland Park,7.0,11.0,42003110600.0,2.0,11.0,5.0,3-9,-79.9152692518372,40.4727222038813,EXACT
359,170751.0,2017-07-17T15:25:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290100.0,3.0,29.0,3.0,4-23,-79.9912497,40.3958898,EXACT
360,128665.0,2017-01-31T16:02:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.002592,40.4623833,EXACT
361,193825.0,2017-10-17T09:58:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Point Breeze,9.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.90726670000001,40.447599200000006,EXACT
362,192092.0,2017-10-09T08:38:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,North Oakland,8.0,4.0,42003040400.0,3.0,4.0,4.0,2-9,-79.94901740000002,40.4469307,EXACT
363,194479.0,2017-10-19T13:47:00,Check Conditions,Call Center,1,Animal Care & Control,Windgap,2.0,28.0,42003563000.0,5.0,28.0,6.0,1-16,-80.0776696475961,40.4598455605085,APPROXIMATE
364,194559.0,2017-10-19T18:47:00,Wires,Call Center,1,DOMI - Permits,Sheraden,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-16,-80.05676509999999,40.457854,EXACT
365,190829.0,2017-10-02T12:19:00,Utility Cut - Other,Call Center,1,DOMI - Permits,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-80.003964,40.375203000000006,EXACT
366,181978.0,2017-08-24T13:15:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-23,-79.993575,40.381895,EXACT
367,194551.0,2017-10-19T16:31:00,No Water,Call Center,1,Pittsburgh Water and Sewer Authority,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.979147350647,40.4268187291917,APPROXIMATE
368,151941.0,2017-05-09T10:42:00,Abandoned Vehicle (parked on street),Control Panel,1,Police - AVU,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0130085088471,40.4858946300379,APPROXIMATE
369,193190.0,2017-10-13T08:48:00,Fence,Call Center,1,DPW - Construction Division,Morningside,7.0,11.0,42003101400.0,2.0,11.0,5.0,3-15,-79.91334618360601,40.486688445067394,EXACT
370,192335.0,2017-10-09T17:14:00,Collapsed Catch Basin,Call Center,1,Pittsburgh Water and Sewer Authority,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-6,-80.0010535,40.4555769,EXACT
371,193396.0,2017-10-13T16:00:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.0218506,40.4106461,EXACT
372,193674.0,2017-10-16T14:18:00,Commercial Refuse/Dumpsters,Website,1,DPW - Refuse,Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-5,-79.97258745767209,40.4450256495766,EXACT
373,193554.0,2017-10-16T10:28:00,Smoke detectors,Call Center,1,Fire Bureau,Lincoln-Lemington-Belmar,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.9007188876265,40.466539887485,APPROXIMATE
374,193574.0,2017-10-16T11:27:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0272419118826,40.470453700307495,APPROXIMATE
375,193585.0,2017-10-16T11:32:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0273517806661,40.4707437149556,APPROXIMATE
376,189233.0,2017-09-25T12:20:00,Root prune ,Call Center,1,DPW - Forestry Division,Point Breeze,8.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.9068033412214,40.449257390942606,APPROXIMATE
377,174843.0,2017-07-31T11:21:00,"Litter Can, Public",Control Panel,1,DPW - Street Maintenance,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0286108,40.4734112,EXACT
378,193577.0,2017-10-16T11:29:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0273892344247,40.4706038607381,APPROXIMATE
379,192766.0,2017-10-11T10:37:00,Permit Parking (Residential Parking Permit),Call Center,1,Parking Authority,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-5,-79.99701297056859,40.457125161248605,APPROXIMATE
380,189521.0,2017-09-26T10:56:00,Collapsed Catch Basin,Control Panel,1,Pittsburgh Water and Sewer Authority,South Oakland,3.0,4.0,42003040900.0,3.0,4.0,4.0,2-11,-79.955076,40.430717,EXACT
381,193264.0,2017-10-13T11:22:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0274908577159,40.4702696253301,APPROXIMATE
382,184127.0,2017-09-01T07:26:00,Broken Sidewalk,Call Center,1,"Permits, Licenses and Inspections",Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-80.0018513,40.441762700000005,EXACT
383,193178.0,2017-10-13T07:36:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.02026359999999,40.4140729,EXACT
384,185802.0,2017-09-11T10:58:00,"Catch Basin, Clogged",Control Panel,1,Pittsburgh Water and Sewer Authority,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-21,-80.01127609999999,40.4552047,EXACT
385,192260.0,2017-10-09T13:58:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Hazelwood,5.0,15.0,42003562900.0,3.0,15.0,4.0,2-12,-79.9410129,40.41886220000001,EXACT
386,186359.0,2017-09-12T18:46:00,Request New Sign,Call Center,1,DOMI - Traffic,East Liberty,9.0,11.0,42003111300.0,2.0,11.0,5.0,3-9,-79.917817,40.468807500000004,EXACT
